tahun_masuk,ipk,jumlah_mk_gagal,sks_lulus,status_skripsi,jumlah_bimbingan,rata_ip,progress_skripsi_sks,tren_ip,ontime
1.0,0.6599999999999999,0.0,0.8461538461538463,1.0,0.5384615384615385,0.6599999999999999,0.9230769230769231,0.693,1
0.8000000000000114,0.7,0.0,0.5897435897435899,0.75,0.6923076923076923,0.7,0.6698717948717949,0.735,1
1.0,0.33000000000000007,0.7142857142857142,0.7179487179487181,0.25,0.4615384615384616,0.33000000000000007,0.48397435897435903,0.3465000000000001,0
0.0,0.585,0.2857142857142857,0.666666666666667,0.25,0.6153846153846154,0.585,0.4583333333333335,0.61425,1
0.20000000000004547,0.905,0.14285714285714285,0.35897435897435903,0.75,0.9230769230769231,0.905,0.5544871794871795,0.95025,1
0.8000000000000114,0.5049999999999999,0.42857142857142855,0.8205128205128207,0.25,0.5384615384615385,0.5049999999999999,0.5352564102564104,0.5302499999999999,1
0.20000000000004547,0.6499999999999999,0.14285714285714285,0.051282051282051544,1.0,0.6153846153846154,0.6499999999999999,0.5256410256410258,0.6824999999999999,0
0.4000000000000341,0.5549999999999999,0.2857142857142857,0.1282051282051282,0.0,0.07692307692307693,0.5549999999999999,0.0641025641025641,0.58275,0
1.0,0.2749999999999999,0.5714285714285714,0.10256410256410264,0.5,0.15384615384615385,0.2749999999999999,0.3012820512820513,0.2887499999999999,0
0.20000000000004547,0.10499999999999998,0.8571428571428571,0.5897435897435899,0.5,0.38461538461538464,0.10499999999999998,0.5448717948717949,0.11024999999999999,1
0.8000000000000114,0.15500000000000003,0.7142857142857142,0.2564102564102564,0.0,0.6153846153846154,0.15500000000000003,0.1282051282051282,0.16275000000000003,0
1.0,0.54,0.14285714285714285,0.2564102564102564,0.25,0.23076923076923078,0.54,0.2532051282051282,0.5670000000000001,0
0.6000000000000227,0.004999999999999893,0.7142857142857142,0.666666666666667,0.5,0.5384615384615385,0.004999999999999893,0.5833333333333335,0.0052499999999998884,0
0.6000000000000227,0.615,0.42857142857142855,0.0769230769230771,1.0,0.4615384615384616,0.615,0.5384615384615385,0.64575,0
0.0,0.7549999999999999,0.14285714285714285,0.7948717948717952,1.0,1.0000000000000002,0.7549999999999999,0.8974358974358976,0.79275,1
1.0,1.0,0.0,0.7948717948717952,0.75,0.5384615384615385,1.0,0.7724358974358976,1.05,1
0.20000000000004547,0.43500000000000005,0.7142857142857142,0.666666666666667,0.25,0.0,0.43500000000000005,0.4583333333333335,0.4567500000000001,0
0.6000000000000227,0.845,0.0,0.6153846153846154,1.0,0.6923076923076923,0.845,0.8076923076923077,0.88725,1
0.4000000000000341,0.52,0.14285714285714285,0.8205128205128207,0.0,0.23076923076923078,0.52,0.41025641025641035,0.546,1
0.20000000000004547,0.51,0.42857142857142855,0.5128205128205128,0.0,0.3076923076923077,0.51,0.2564102564102564,0.5355000000000001,0
0.20000000000004547,0.355,0.8571428571428571,0.30769230769230793,0.0,0.4615384615384616,0.355,0.15384615384615397,0.37274999999999997,0
0.0,0.41999999999999993,0.42857142857142855,0.9230769230769234,0.25,0.3076923076923077,0.41999999999999993,0.5865384615384617,0.44099999999999995,0
1.0,0.49,0.42857142857142855,0.5897435897435899,0.0,0.3076923076923077,0.49,0.29487179487179493,0.5145,0
1.0,0.41500000000000004,0.7142857142857142,0.2051282051282053,0.0,0.6153846153846154,0.41500000000000004,0.10256410256410264,0.4357500000000001,0
0.8000000000000114,0.5800000000000001,0.14285714285714285,0.9487179487179489,0.0,0.5384615384615385,0.5800000000000001,0.47435897435897445,0.6090000000000001,1
0.6000000000000227,0.2450000000000001,0.8571428571428571,0.0769230769230771,0.5,0.3076923076923077,0.2450000000000001,0.28846153846153855,0.25725000000000015,0
0.6000000000000227,0.45999999999999996,0.42857142857142855,0.666666666666667,0.5,0.23076923076923078,0.45999999999999996,0.5833333333333335,0.483,0
1.0,0.6299999999999999,0.2857142857142857,0.5384615384615388,1.0,0.8461538461538463,0.6299999999999999,0.7692307692307694,0.6614999999999999,1
1.0,0.4950000000000001,1.0,0.17948717948717974,0.5,0.07692307692307693,0.4950000000000001,0.33974358974358987,0.5197500000000002,0
0.6000000000000227,0.605,0.2857142857142857,0.4615384615384617,0.5,0.5384615384615385,0.605,0.48076923076923084,0.63525,1
0.20000000000004547,0.595,0.42857142857142855,0.4102564102564106,0.5,0.0,0.595,0.4551282051282053,0.62475,0
0.8000000000000114,0.655,0.14285714285714285,0.4871794871794872,0.75,0.4615384615384616,0.655,0.6185897435897436,0.6877500000000001,1
0.20000000000004547,0.365,0.7142857142857142,0.051282051282051544,0.75,0.6923076923076923,0.365,0.40064102564102577,0.38325,1
0.20000000000004547,0.51,0.42857142857142855,0.9487179487179489,0.0,0.6153846153846154,0.51,0.47435897435897445,0.5355000000000001,1
0.8000000000000114,0.0,0.42857142857142855,0.7435897435897436,0.75,1.0000000000000002,0.0,0.7467948717948718,0.0,1
